Customer_ID,age_range,HolidayName,Month_name,jan_dummy,feb_dummy,mar_dummy,apr_dummy,may_dummy,jun_dummy,jul_dummy,aug_dummy,sep_dummy,oct_dummy,nov_dummy,dec_dummy,spend_3m,QTY_3m,spend_12m,QTY_12m,spend_3m_electronics,QTY_3m_electronics,spend_3m_beauty,QTY_3m_beauty,spend_3m_clothing,QTY_3m_beauty:1,dummy_under_20,dummy_20_29,dummy_30_39,dummy_40_49,dummy_50_59,dummy_60_plus,gender_dummy,HolidayDummy,Max_Temp,Min_Temp,Mean_Temp,Total_Precip_mm,Product_Category
CUST015,40-49,0,01,1,0,0,0,0,0,0,0,0,0,0,0,2000,4,2000,4,2000,4,0,0,0,0,0,0,0,1,0,0,0,0,1.8,-5.1,-1.7,0.1,Electronics
CUST065,50-59,0,12,0,0,0,0,0,0,0,0,0,0,0,1,2000,4,2000,4,2000,4,0,0,0,0,0,0,0,0,1,0,1,0,3.1,0.3,1.7,0.1,Electronics
CUST072,20-29,0,05,0,0,0,0,1,0,0,0,0,0,0,0,2000,4,2000,4,2000,4,0,0,0,0,0,1,0,0,0,0,0,0,19.5,10.0,14.8,0.0,Electronics
CUST074,Under 20,0,11,0,0,0,0,0,0,0,0,0,0,1,0,2000,4,2000,4,0,0,2000,4,0,4,1,0,0,0,0,0,0,0,7.1,3.0,5.1,2.8,Beauty
CUST089,50-59,0,10,0,0,0,0,0,0,0,0,0,1,0,0,2000,4,2000,4,2000,4,0,0,0,0,0,0,0,0,1,0,0,0,24.8,14.9,19.9,0.0,Electronics
CUST093,30-39,0,07,0,0,0,0,0,0,1,0,0,0,0,0,2000,4,2000,4,0,0,2000,4,0,4,0,0,1,0,0,0,0,0,26.1,15.3,20.7,0.0,Beauty
CUST109,30-39,0,10,0,0,0,0,0,0,0,0,0,1,0,0,2000,4,2000,4,2000,4,0,0,0,0,0,0,1,0,0,0,0,0,14.3,9.4,11.8,0.0,Electronics
CUST118,30-39,0,05,0,0,0,0,1,0,0,0,0,0,0,0,2000,4,2000,4,2000,4,0,0,0,0,0,0,1,0,0,0,0,0,25.0,6.6,15.8,0.0,Electronics
CUST124,30-39,0,10,0,0,0,0,0,0,0,0,0,1,0,0,2000,4,2000,4,0,0,0,0,2000,0,0,0,1,0,0,0,1,0,21.9,16.3,19.1,0.0,Clothing
CUST139,30-39,0,12,0,0,0,0,0,0,0,0,0,0,0,1,2000,4,2000,4,0,0,2000,4,0,4,0,0,1,0,0,0,1,0,13.2,3.7,8.5,0.0,Beauty
CUST152,40-49,0,02,0,1,0,0,0,0,0,0,0,0,0,0,2000,4,2000,4,2000,4,0,0,0,0,0,0,0,1,0,0,1,0,2.6,-0.1,1.3,2.8,Electronics
CUST155,30-39,0,05,0,0,0,0,1,0,0,0,0,0,0,0,2000,4,2000,4,2000,4,0,0,0,0,0,0,1,0,0,0,1,0,10.2,2.8,6.5,0.0,Electronics
CUST157,60+,0,06,0,0,0,0,0,1,0,0,0,0,0,0,2000,4,2000,4,2000,4,0,0,0,0,0,0,0,0,0,1,1,0,28.0,20.0,24.0,0.1,Electronics
CUST166,30-39,0,04,0,0,0,1,0,0,0,0,0,0,0,0,2000,4,2000,4,0,0,0,0,2000,0,0,0,1,0,0,0,1,0,2.9,-3.7,-0.4,0.0,Clothing
CUST253,50-59,0,08,0,0,0,0,0,0,0,1,0,0,0,0,2000,4,2000,4,0,0,0,0,2000,0,0,0,0,0,1,0,0,0,22.1,11.6,16.8,0.0,Clothing
CUST257,Under 20,0,02,0,1,0,0,0,0,0,0,0,0,0,0,2000,4,2000,4,0,0,2000,4,0,4,1,0,0,0,0,0,1,0,8.8,2.0,5.4,0.0,Beauty
CUST269,20-29,0,02,0,1,0,0,0,0,0,0,0,0,0,0,2000,4,2000,4,0,0,0,0,2000,0,0,1,0,0,0,0,1,0,-3.7,-10.6,-7.1,0.0,Clothing
CUST281,20-29,0,05,0,0,0,0,1,0,0,0,0,0,0,0,2000,4,2000,4,0,0,2000,4,0,4,0,1,0,0,0,0,0,0,19.5,10.0,14.8,0.0,Beauty
